Sum of Adj Close,Sum of Close,Sum of Column1,Year,Quarter,Month,Day,Sum of High,Sum of Low,Sum of Open,Sum of Volume
1002.586121,1139.599976,255,2016,Qtr 1,January,13,1163.5,1127.550049,1158.5,4746092
1002.410156,1139.400024,256,2016,Qtr 1,January,14,1149.449951,1125,1136.5,2742052
994.623962,1130.550049,257,2016,Qtr 1,January,15,1145.849976,1127.5,1144.425049,3269408
1001.903931,1138.824951,258,2016,Qtr 1,January,18,1145.949951,1130,1131,2213922
1002.629822,1139.650024,259,2016,Qtr 1,January,19,1150,1134.150024,1138.5,967910
1002.981934,1140.050049,260,2016,Qtr 1,January,20,1142.5,1121.5,1136.900024,1615954
994.118774,1127.25,261,2016,Qtr 1,January,21,1144.949951,1122.875,1142.5,2675536
1012.308228,1147.875,262,2016,Qtr 1,January,22,1151.025024,1130,1136.5,1343178
1016.232361,1152.324951,263,2016,Qtr 1,January,25,1169.5,1145.75,1150.949951,1397560
1022.890625,1159.875,264,2016,Qtr 1,January,27,1164.974976,1140.949951,1151,1626986
1027.939453,1165.599976,265,2016,Qtr 1,January,28,1174.449951,1154.025024,1157.75,3106660
1054.440674,1195.650024,266,2016,Qtr 1,January,29,1200,1167.525024,1179.349976,2235744
1059.467041,1201.349976,267,2016,Qtr 1,February,1,1206.474976,1179.5,1195.550049,1495274
1057.438843,1199.050049,268,2016,Qtr 1,February,2,1216.5,1189.849976,1204.5,1475588
1065.464233,1208.150024,269,2016,Qtr 1,February,3,1214.949951,1180.150024,1193.75,1308692
1067.117798,1210.025024,270,2016,Qtr 1,February,4,1220,1201,1210.949951,1250046
1067.955566,1210.974976,271,2016,Qtr 1,February,5,1219.974976,1204.050049,1204.050049,1402996
1041.939697,1181.474976,272,2016,Qtr 1,February,8,1206.025024,1173.5,1200,1063658
1005.980347,1140.699951,273,2016,Qtr 1,February,9,1166.800049,1127.800049,1166.800049,2489610
1000.424194,1134.400024,274,2016,Qtr 1,February,10,1144.949951,1129.050049,1137.5,1890732
969.182983,1098.974976,275,2016,Qtr 1,February,11,1144.5,1085.824951,1140,1962408
981.816528,1113.300049,276,2016,Qtr 1,February,12,1121.699951,1082,1100,2172568
1000.578552,1134.574951,277,2016,Qtr 1,February,15,1153.425049,1120,1125,2479712
998.991089,1132.775024,278,2016,Qtr 1,February,16,1141,1121.5,1133,1588702
1003.400879,1137.775024,279,2016,Qtr 1,February,17,1139.824951,1123.199951,1132.5,1585178
1021.170593,1157.925049,280,2016,Qtr 1,February,18,1159.875,1139,1142.5,1529140
1022.846436,1159.824951,281,2016,Qtr 1,February,19,1163.5,1152.724976,1153.675049,879012
1021.19342,1157.949951,282,2016,Qtr 1,February,22,1171.5,1152.5,1160.125,1324884
998.307922,1132,283,2016,Qtr 1,February,23,1159.949951,1128.375,1155.125,1306852
974.915222,1105.474976,284,2016,Qtr 1,February,24,1131.224976,1100.599976,1131.224976,1659328
975.753418,1106.425049,285,2016,Qtr 1,February,25,1114,1092.824951,1109.900024,1830556
974.716858,1105.25,286,2016,Qtr 1,February,26,1128.449951,1099.800049,1114.849976,1537536
959.856934,1088.400024,287,2016,Qtr 1,February,29,1118.5,1057.5,1118.5,2191718
1003.885803,1138.324951,288,2016,Qtr 1,March,1,1142.550049,1081,1096.5,1999760
1022.493835,1159.425049,289,2016,Qtr 1,March,2,1165,1128.125,1152.5,1527486
1046.437622,1186.574951,290,2016,Qtr 1,March,3,1195.5,1150.5,1168,2648284
1039.55835,1178.775024,291,2016,Qtr 1,March,4,1190,1174.775024,1190,1512966
1038.12561,1177.150024,292,2016,Qtr 1,March,8,1183.5,1152.099976,1171.050049,1268152
